Student ID,First Name,Last Name,Grade,Section,Password,Gender,Date of Birth,Father Name,Mother Name,Phone,Aadhaar,Category,Address,Village,Mandal,District,State,Pincode,Hostel Status,Disabilities
STU0011,Anitha,Rathod,7,A,,Male,2014-05-10,Anitha Rathod,Pavan Bai,9196863212,970646048309,SC,Govt Ashram School,Bheempoor,Narnoor,Adilabad,Telangana,504311,Yes,
STU0012,Ravi,Rathod,6,B,,Female,2015-04-11,Kiran Rathod,Lakshmi Bai,9552532242,229416795246,SC,Govt Ashram School,Bheempoor,Utnoor,Adilabad,Telangana,504311,Yes,
STU0013,Sunil,Tekam,9,A,,Male,2013-02-20,Raju Tekam,Mahesh Bai,9855664923,782164721564,SC,Govt Ashram School,Utnoor,Jainoor,Adilabad,Telangana,504311,Yes,
STU0014,Lakshmi,Bai,7,A,,Female,2010-06-18,Sunil Bai,Sunil Bai,9299158823,816243486841,SC,Govt Ashram School,Indravelli,Sirpur U,Adilabad,Telangana,504311,Yes,
STU0015,Sita,Naik,7,B,,Male,2014-07-14,Anitha Naik,Lakshmi Bai,9116065438,747689085524,OBC,Govt Ashram School,Kerameri,Kerameri,Adilabad,Telangana,504311,Yes,
STU0016,Raju,Markam,6,B,,Male,2011-06-16,Mahesh Markam,Sita Bai,9329937842,815400049948,SC,Govt Ashram School,Sirpur,Indravelli,Adilabad,Telangana,504311,Yes,
STU0017,Lakshmi,Bai,8,A,,Female,2010-04-14,Pavan Bai,Pavan Bai,9190930499,626002995827,OBC,Govt Ashram School,Kerameri,Utnoor,Adilabad,Telangana,504311,Yes,
STU0018,Sita,Kumar,6,B,,Female,2012-01-23,Kiran Kumar,Raju Bai,9710601760,960475079348,SC,Govt Ashram School,Sirpur,Sirpur U,Adilabad,Telangana,504311,Yes,
STU0019,Mahesh,Bai,8,B,,Female,2012-05-25,Raju Bai,Lakshmi Bai,9532873967,574190059811,OBC,Govt Ashram School,Jainoor,Utnoor,Adilabad,Telangana,504311,Yes,
STU0020,Sita,Kumar,8,A,,Male,2010-05-19,Sunil Kumar,Geetha Bai,9756125068,445155248010,OBC,Govt Ashram School,Utnoor,Jainoor,Adilabad,Telangana,504311,Yes,
STU0021,Pavan,Naik,10,A,,Female,2010-06-15,Pavan Naik,Lakshmi Bai,9184225539,914476557268,OBC,Govt Ashram School,Bheempoor,Kerameri,Adilabad,Telangana,504311,Yes,
STU0022,Ravi,Kumar,10,B,,Male,2014-03-19,Sunil Kumar,Anitha Bai,9308613875,185671265273,ST,Govt Ashram School,Indravelli,Narnoor,Adilabad,Telangana,504311,Yes,
STU0023,Sunil,Madavi,6,A,,Male,2015-09-20,Geetha Madavi,Anitha Bai,9855371749,323792448450,SC,Govt Ashram School,Indravelli,Indravelli,Adilabad,Telangana,504311,Yes,
STU0024,Raju,Markam,9,B,,Female,2014-03-19,Lakshmi Markam,Lakshmi Bai,9791319613,756983889221,ST,Govt Ashram School,Utnoor,Sirpur U,Adilabad,Telangana,504311,Yes,
STU0025,Pavan,Kovvuri,7,A,,Female,2014-01-19,Sita Kovvuri,Mahesh Bai,9704736795,865979615387,SC,Govt Ashram School,Jainoor,Indravelli,Adilabad,Telangana,504311,Yes,
STU0026,Lakshmi,Kovvuri,7,B,,Male,2014-06-20,Sita Kovvuri,Lakshmi Bai,9434294767,170101604447,ST,Govt Ashram School,Bheempoor,Sirpur U,Adilabad,Telangana,504311,Yes,
STU0027,Raju,Bai,6,B,,Male,2015-09-11,Geetha Bai,Mahesh Bai,9541722720,576323161490,OBC,Govt Ashram School,Kerameri,Indravelli,Adilabad,Telangana,504311,Yes,
STU0028,Raju,Rathod,10,A,,Female,2013-09-24,Raju Rathod,Sita Bai,9341491848,190105953474,OBC,Govt Ashram School,Sirpur,Jainoor,Adilabad,Telangana,504311,Yes,
STU0029,Lakshmi,Rathod,6,B,,Female,2011-04-17,Sunil Rathod,Sita Bai,9930843892,230625802668,OBC,Govt Ashram School,Kerameri,Indravelli,Adilabad,Telangana,504311,Yes,
STU0030,Anitha,Naik,9,A,,Male,2012-08-10,Mahesh Naik,Lakshmi Bai,9465101081,105795506203,SC,Govt Ashram School,Utnoor,Utnoor,Adilabad,Telangana,504311,Yes,
STU0031,Lakshmi,Madavi,6,B,,Female,2012-02-15,Ravi Madavi,Kiran Bai,9993693890,181039026736,OBC,Govt Ashram School,Sirpur,Sirpur U,Adilabad,Telangana,504311,Yes,
STU0032,Mahesh,Rathod,10,A,,Female,2015-09-22,Mahesh Rathod,Ravi Bai,9987921903,675357352224,OBC,Govt Ashram School,Utnoor,Indravelli,Adilabad,Telangana,504311,Yes,
STU0033,Sita,Naik,6,A,,Male,2013-06-13,Ravi Naik,Raju Bai,9982633996,500316879687,OBC,Govt Ashram School,Sirpur,Utnoor,Adilabad,Telangana,504311,Yes,
STU0034,Anitha,Kovvuri,9,B,,Male,2013-08-27,Geetha Kovvuri,Sita Bai,9975723776,195092035190,ST,Govt Ashram School,Indravelli,Utnoor,Adilabad,Telangana,504311,Yes,
STU0035,Sunil,Kumar,9,A,,Male,2010-08-15,Mahesh Kumar,Sita Bai,9358671003,685072750986,OBC,Govt Ashram School,Sirpur,Sirpur U,Adilabad,Telangana,504311,Yes,
STU0036,Ravi,Bai,9,A,,Female,2015-05-24,Anitha Bai,Ravi Bai,9638321018,946163257972,OBC,Govt Ashram School,Jainoor,Indravelli,Adilabad,Telangana,504311,Yes,
STU0037,Pavan,Bai,9,A,,Female,2013-09-11,Ravi Bai,Anitha Bai,9423547792,176823457316,OBC,Govt Ashram School,Kerameri,Jainoor,Adilabad,Telangana,504311,Yes,
STU0038,Pavan,Tekam,6,A,,Female,2015-03-26,Pavan Tekam,Ravi Bai,9473805296,573548431993,ST,Govt Ashram School,Jainoor,Indravelli,Adilabad,Telangana,504311,Yes,
STU0039,Sita,Kovvuri,7,B,,Female,2010-06-22,Mahesh Kovvuri,Raju Bai,9279141340,999750673672,ST,Govt Ashram School,Sirpur,Sirpur U,Adilabad,Telangana,504311,Yes,
STU0040,Ravi,Madavi,8,A,,Male,2013-06-21,Ravi Madavi,Ravi Bai,9791565558,408700248950,SC,Govt Ashram School,Kerameri,Narnoor,Adilabad,Telangana,504311,Yes,
STU0041,Pavan,Tekam,9,B,,Female,2013-09-14,Kiran Tekam,Geetha Bai,9667788578,351492569685,ST,Govt Ashram School,Jainoor,Sirpur U,Adilabad,Telangana,504311,Yes,
STU0042,Geetha,Markam,6,A,,Female,2013-08-16,Pavan Markam,Sunil Bai,9462500378,595852511544,ST,Govt Ashram School,Bheempoor,Utnoor,Adilabad,Telangana,504311,Yes,
STU0043,Kiran,Rathod,6,A,,Female,2013-09-25,Pavan Rathod,Sita Bai,9992514857,339333248681,SC,Govt Ashram School,Indravelli,Utnoor,Adilabad,Telangana,504311,Yes,
STU0044,Ravi,Kumar,8,A,,Male,2012-01-25,Lakshmi Kumar,Mahesh Bai,9418776560,585903871649,SC,Govt Ashram School,Kerameri,Indravelli,Adilabad,Telangana,504311,Yes,
STU0045,Geetha,Kovvuri,7,A,,Male,2013-03-15,Sita Kovvuri,Mahesh Bai,9569438930,218252853555,OBC,Govt Ashram School,Kerameri,Indravelli,Adilabad,Telangana,504311,Yes,
STU0046,Sunil,Bai,6,B,,Male,2014-07-23,Geetha Bai,Raju Bai,9192717685,919767050286,SC,Govt Ashram School,Sirpur,Kerameri,Adilabad,Telangana,504311,Yes,
STU0047,Sunil,Kovvuri,10,B,,Female,2010-01-14,Ravi Kovvuri,Geetha Bai,9493774476,190617629872,OBC,Govt Ashram School,Utnoor,Utnoor,Adilabad,Telangana,504311,Yes,
STU0048,Lakshmi,Tekam,7,B,,Male,2010-01-18,Pavan Tekam,Anitha Bai,9309283316,335006695328,OBC,Govt Ashram School,Utnoor,Narnoor,Adilabad,Telangana,504311,Yes,
STU0049,Mahesh,Kumar,7,A,,Female,2011-06-15,Pavan Kumar,Geetha Bai,9812156247,299654497204,OBC,Govt Ashram School,Kerameri,Kerameri,Adilabad,Telangana,504311,Yes,
STU0050,Sita,Bai,9,A,,Male,2015-09-21,Sunil Bai,Sita Bai,9948207343,750379772643,ST,Govt Ashram School,Bheempoor,Jainoor,Adilabad,Telangana,504311,Yes,
STU0051,Mahesh,Bai,6,A,,Female,2013-07-11,Anitha Bai,Geetha Bai,9752524054,294410821754,SC,Govt Ashram School,Jainoor,Indravelli,Adilabad,Telangana,504311,Yes,
STU0052,Sunil,Tekam,9,B,,Male,2011-07-23,Geetha Tekam,Raju Bai,9990950786,332501717431,SC,Govt Ashram School,Bheempoor,Kerameri,Adilabad,Telangana,504311,Yes,
STU0053,Kiran,Kumar,9,A,,Female,2012-05-13,Raju Kumar,Mahesh Bai,9302148361,115354286285,OBC,Govt Ashram School,Sirpur,Indravelli,Adilabad,Telangana,504311,Yes,
STU0054,Sunil,Tekam,9,B,,Female,2010-09-15,Pavan Tekam,Mahesh Bai,9456518519,932411222545,ST,Govt Ashram School,Bheempoor,Utnoor,Adilabad,Telangana,504311,Yes,
STU0055,Sunil,Kovvuri,6,A,,Male,2012-06-15,Sunil Kovvuri,Geetha Bai,9430383764,691550427108,OBC,Govt Ashram School,Bheempoor,Narnoor,Adilabad,Telangana,504311,Yes,
STU0056,Kiran,Madavi,9,A,,Female,2011-09-25,Kiran Madavi,Geetha Bai,9833456105,368272947988,SC,Govt Ashram School,Indravelli,Jainoor,Adilabad,Telangana,504311,Yes,
STU0057,Kiran,Bai,10,B,,Female,2011-04-14,Pavan Bai,Sunil Bai,9579357469,332606315208,SC,Govt Ashram School,Bheempoor,Narnoor,Adilabad,Telangana,504311,Yes,
STU0058,Raju,Bai,9,A,,Male,2014-08-18,Ravi Bai,Kiran Bai,9946739608,407112257329,ST,Govt Ashram School,Jainoor,Utnoor,Adilabad,Telangana,504311,Yes,
STU0059,Lakshmi,Markam,10,B,,Female,2010-08-22,Sunil Markam,Pavan Bai,9695388462,415052786958,SC,Govt Ashram School,Utnoor,Kerameri,Adilabad,Telangana,504311,Yes,
STU0060,Sunil,Bai,6,A,,Female,2014-03-18,Mahesh Bai,Pavan Bai,9513750276,867083924879,OBC,Govt Ashram School,Indravelli,Utnoor,Adilabad,Telangana,504311,Yes,
STU0061,Sunil,Markam,7,A,,Male,2013-05-17,Mahesh Markam,Anitha Bai,9469532224,982643196066,SC,Govt Ashram School,Kerameri,Sirpur U,Adilabad,Telangana,504311,Yes,
STU0062,Geetha,Tekam,8,B,,Female,2012-06-17,Kiran Tekam,Kiran Bai,9834894559,303495875587,OBC,Govt Ashram School,Utnoor,Sirpur U,Adilabad,Telangana,504311,Yes,
STU0063,Ravi,Madavi,10,A,,Female,2014-07-27,Mahesh Madavi,Kiran Bai,9497626684,133499235347,OBC,Govt Ashram School,Bheempoor,Jainoor,Adilabad,Telangana,504311,Yes,
STU0064,Anitha,Kovvuri,7,A,,Male,2015-03-18,Sunil Kovvuri,Lakshmi Bai,9740712516,728733067578,OBC,Govt Ashram School,Kerameri,Sirpur U,Adilabad,Telangana,504311,Yes,
STU0065,Lakshmi,Tekam,8,A,,Female,2012-04-14,Pavan Tekam,Pavan Bai,9963470232,394548524868,ST,Govt Ashram School,Indravelli,Kerameri,Adilabad,Telangana,504311,Yes,
STU0066,Geetha,Naik,9,B,,Female,2012-03-27,Anitha Naik,Lakshmi Bai,9546721414,377933932135,SC,Govt Ashram School,Sirpur,Utnoor,Adilabad,Telangana,504311,Yes,
STU0067,Ravi,Kovvuri,7,B,,Female,2015-07-21,Sita Kovvuri,Geetha Bai,9291167139,921276815381,OBC,Govt Ashram School,Indravelli,Kerameri,Adilabad,Telangana,504311,Yes,
STU0068,Ravi,Madavi,9,B,,Female,2011-08-24,Raju Madavi,Geetha Bai,9160383978,172165730228,OBC,Govt Ashram School,Kerameri,Utnoor,Adilabad,Telangana,504311,Yes,
STU0069,Sita,Markam,7,B,,Male,2010-04-25,Mahesh Markam,Ravi Bai,9169854310,985696738138,ST,Govt Ashram School,Bheempoor,Utnoor,Adilabad,Telangana,504311,Yes,
STU0070,Kiran,Tekam,8,B,,Male,2015-04-23,Ravi Tekam,Pavan Bai,9208677495,904245617734,SC,Govt Ashram School,Kerameri,Indravelli,Adilabad,Telangana,504311,Yes,
STU0071,Ravi,Kumar,10,B,,Male,2011-04-15,Mahesh Kumar,Anitha Bai,9890346644,261092991424,OBC,Govt Ashram School,Sirpur,Utnoor,Adilabad,Telangana,504311,Yes,
STU0072,Mahesh,Madavi,8,A,,Female,2012-07-23,Pavan Madavi,Ravi Bai,9842764737,719985043920,ST,Govt Ashram School,Bheempoor,Jainoor,Adilabad,Telangana,504311,Yes,
STU0073,Mahesh,Bai,10,A,,Male,2010-01-18,Raju Bai,Pavan Bai,9896118035,800130903159,SC,Govt Ashram School,Jainoor,Jainoor,Adilabad,Telangana,504311,Yes,
STU0074,Raju,Naik,6,B,,Male,2013-08-20,Sita Naik,Sita Bai,9626816688,925510718348,OBC,Govt Ashram School,Bheempoor,Narnoor,Adilabad,Telangana,504311,Yes,
STU0075,Lakshmi,Rathod,7,A,,Female,2010-02-17,Pavan Rathod,Sunil Bai,9749333716,958078314888,OBC,Govt Ashram School,Jainoor,Narnoor,Adilabad,Telangana,504311,Yes,
STU0076,Anitha,Tekam,9,A,,Female,2012-02-12,Ravi Tekam,Sunil Bai,9297228001,722547769593,ST,Govt Ashram School,Indravelli,Indravelli,Adilabad,Telangana,504311,Yes,
STU0077,Geetha,Madavi,6,A,,Male,2011-02-12,Kiran Madavi,Mahesh Bai,9195583566,100548196967,OBC,Govt Ashram School,Indravelli,Sirpur U,Adilabad,Telangana,504311,Yes,
STU0078,Sunil,Rathod,7,B,,Female,2010-03-23,Raju Rathod,Sita Bai,9837497352,861208589704,SC,Govt Ashram School,Jainoor,Kerameri,Adilabad,Telangana,504311,Yes,
STU0079,Ravi,Madavi,9,A,,Male,2014-08-12,Sunil Madavi,Kiran Bai,9810762178,197425764388,ST,Govt Ashram School,Sirpur,Narnoor,Adilabad,Telangana,504311,Yes,
STU0080,Ravi,Markam,9,A,,Female,2010-06-21,Raju Markam,Raju Bai,9752439515,789385781807,ST,Govt Ashram School,Jainoor,Kerameri,Adilabad,Telangana,504311,Yes,
STU0081,Mahesh,Markam,9,A,,Female,2012-06-17,Ravi Markam,Sunil Bai,9995137053,914793226445,OBC,Govt Ashram School,Utnoor,Narnoor,Adilabad,Telangana,504311,Yes,
STU0082,Lakshmi,Madavi,9,B,,Female,2015-03-24,Ravi Madavi,Kiran Bai,9271248405,554782201623,SC,Govt Ashram School,Indravelli,Utnoor,Adilabad,Telangana,504311,Yes,
STU0083,Kiran,Madavi,7,A,,Female,2011-06-19,Ravi Madavi,Lakshmi Bai,9590285208,819491703109,SC,Govt Ashram School,Utnoor,Utnoor,Adilabad,Telangana,504311,Yes,
STU0084,Raju,Tekam,10,A,,Female,2010-01-17,Anitha Tekam,Pavan Bai,9281225366,388582713258,SC,Govt Ashram School,Utnoor,Utnoor,Adilabad,Telangana,504311,Yes,
STU0085,Lakshmi,Rathod,8,A,,Female,2014-01-15,Sunil Rathod,Lakshmi Bai,9378802070,523088571826,SC,Govt Ashram School,Utnoor,Narnoor,Adilabad,Telangana,504311,Yes,
STU0086,Kiran,Tekam,7,A,,Male,2014-03-26,Anitha Tekam,Lakshmi Bai,9546284396,926526685798,OBC,Govt Ashram School,Sirpur,Jainoor,Adilabad,Telangana,504311,Yes,
STU0087,Raju,Rathod,9,B,,Female,2010-04-14,Raju Rathod,Raju Bai,9693631713,680005754307,ST,Govt Ashram School,Sirpur,Jainoor,Adilabad,Telangana,504311,Yes,
STU0088,Sunil,Markam,8,B,,Male,2011-08-13,Lakshmi Markam,Lakshmi Bai,9397412593,531772000799,OBC,Govt Ashram School,Jainoor,Kerameri,Adilabad,Telangana,504311,Yes,
STU0089,Ravi,Madavi,10,B,,Female,2015-07-14,Kiran Madavi,Ravi Bai,9299270367,937170211680,ST,Govt Ashram School,Utnoor,Indravelli,Adilabad,Telangana,504311,Yes,
STU0090,Mahesh,Madavi,9,B,,Male,2015-05-19,Pavan Madavi,Lakshmi Bai,9737154713,940406854536,OBC,Govt Ashram School,Sirpur,Narnoor,Adilabad,Telangana,504311,Yes,
STU0091,Mahesh,Naik,8,B,,Female,2010-08-13,Pavan Naik,Sita Bai,9802148538,847346239248,OBC,Govt Ashram School,Jainoor,Kerameri,Adilabad,Telangana,504311,Yes,
STU0092,Sunil,Kovvuri,9,A,,Female,2013-02-12,Anitha Kovvuri,Raju Bai,9930470410,124943251168,ST,Govt Ashram School,Jainoor,Sirpur U,Adilabad,Telangana,504311,Yes,
STU0093,Geetha,Kovvuri,7,B,,Male,2013-08-17,Anitha Kovvuri,Anitha Bai,9732456619,534167838050,SC,Govt Ashram School,Sirpur,Kerameri,Adilabad,Telangana,504311,Yes,
STU0094,Sita,Rathod,6,B,,Male,2015-03-18,Sita Rathod,Lakshmi Bai,9450944623,341934731853,OBC,Govt Ashram School,Sirpur,Utnoor,Adilabad,Telangana,504311,Yes,
STU0095,Geetha,Naik,9,A,,Male,2013-04-21,Mahesh Naik,Sunil Bai,9218440621,475377217360,OBC,Govt Ashram School,Indravelli,Narnoor,Adilabad,Telangana,504311,Yes,
STU0096,Ravi,Markam,10,B,,Female,2012-08-20,Kiran Markam,Lakshmi Bai,9217140452,223770160414,OBC,Govt Ashram School,Bheempoor,Indravelli,Adilabad,Telangana,504311,Yes,
STU0097,Sita,Madavi,8,A,,Female,2010-02-16,Sita Madavi,Anitha Bai,9911623885,634021763646,ST,Govt Ashram School,Kerameri,Narnoor,Adilabad,Telangana,504311,Yes,
STU0098,Geetha,Naik,8,A,,Male,2015-01-14,Pavan Naik,Anitha Bai,9431831380,448495354772,OBC,Govt Ashram School,Utnoor,Narnoor,Adilabad,Telangana,504311,Yes,
STU0099,Mahesh,Kovvuri,7,A,,Female,2012-05-12,Kiran Kovvuri,Sita Bai,9772008875,956717891387,OBC,Govt Ashram School,Kerameri,Jainoor,Adilabad,Telangana,504311,Yes,
STU0100,Kiran,Kovvuri,7,A,,Female,2012-01-22,Kiran Kovvuri,Kiran Bai,9907297246,472344128445,ST,Govt Ashram School,Bheempoor,Kerameri,Adilabad,Telangana,504311,Yes,
